epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1542.11,0.73759,0.46734,0.9251,0.77637,0.64921,0.64524,0.42766,1.06546,0.76438,1.00187,0.00895343,0.00895343,0.00895343
76,1562.99,0.72099,0.46018,0.92795,0.83794,0.65765,0.66071,0.43653,1.07932,0.7203,1.0118,0.00893929,0.00893929,0.00893929
77,1584.12,0.70053,0.44555,0.91257,0.71431,0.62488,0.61892,0.41307,1.09267,0.78179,1.01062,0.00892514,0.00892514,0.00892514
78,1605.14,0.70155,0.44374,0.91739,0.83205,0.65264,0.6624,0.4413,1.03938,0.74041,0.98004,0.008911,0.008911,0.008911
79,1625.89,0.70751,0.44493,0.91981,0.82347,0.6352,0.66933,0.43727,1.08882,0.72704,1.00426,0.00889686,0.00889686,0.00889686
80,1646.84,0.70718,0.44798,0.91887,0.79784,0.61659,0.62827,0.42134,1.09395,0.76316,1.01478,0.00888271,0.00888271,0.00888271
81,1667.93,0.7166,0.46045,0.92607,0.69436,0.63222,0.62146,0.41439,1.03803,0.76835,0.99304,0.00886857,0.00886857,0.00886857
82,1688.96,0.72934,0.46611,0.9218,0.74888,0.65657,0.66754,0.43508,1.08224,0.79647,1.0001,0.00885443,0.00885443,0.00885443
83,1709.76,0.72117,0.4533,0.91968,0.79456,0.65158,0.63133,0.41741,1.06505,0.76285,1.0065,0.00884029,0.00884029,0.00884029
84,1730.73,0.70104,0.44415,0.91341,0.76865,0.60792,0.6188,0.40712,1.08859,0.76838,1.01678,0.00882614,0.00882614,0.00882614
85,1751.57,0.71332,0.44633,0.91723,0.75798,0.64404,0.64394,0.42241,1.04626,0.73197,1.00293,0.008812,0.008812,0.008812
86,1772.55,0.72541,0.45498,0.92747,0.78562,0.623,0.63257,0.42427,1.10044,0.78094,1.00955,0.00879786,0.00879786,0.00879786
87,1793.45,0.70884,0.45546,0.91993,0.80854,0.642,0.65965,0.4363,1.04022,0.75463,1.00078,0.00878371,0.00878371,0.00878371
88,1814.43,0.70169,0.43939,0.91163,0.74689,0.64204,0.65486,0.41942,1.04492,0.72483,1.00631,0.00876957,0.00876957,0.00876957
89,1835.55,0.70011,0.44455,0.9118,0.83767,0.60964,0.64522,0.42126,1.08856,0.76123,1.0076,0.00875543,0.00875543,0.00875543
90,1856.54,0.70538,0.44475,0.91291,0.73915,0.64365,0.6406,0.41794,1.10587,0.76226,1.01892,0.00874129,0.00874129,0.00874129
91,1877.27,0.71178,0.44781,0.9138,0.86015,0.62048,0.65181,0.42131,1.06529,0.74461,1.01768,0.00872714,0.00872714,0.00872714
92,1898.39,0.69107,0.42718,0.91023,0.77763,0.61729,0.64163,0.41811,1.06228,0.79829,1.01928,0.008713,0.008713,0.008713
93,1919.24,0.71042,0.45184,0.9103,0.75829,0.62496,0.61807,0.40781,1.08922,0.76174,1.01059,0.00869886,0.00869886,0.00869886
94,1940.08,0.70091,0.44272,0.90818,0.83903,0.65907,0.66767,0.434,1.06651,0.73027,1.00143,0.00868471,0.00868471,0.00868471
95,1961.07,0.69129,0.4381,0.91519,0.76112,0.63444,0.64859,0.43461,1.03634,0.72454,0.99255,0.00867057,0.00867057,0.00867057
96,1982.01,0.68753,0.43246,0.91208,0.87451,0.65007,0.68398,0.43794,1.07791,0.72254,0.99658,0.00865643,0.00865643,0.00865643
97,2002.82,0.70164,0.45059,0.90972,0.73629,0.64109,0.65046,0.43051,1.08546,0.78775,1.00936,0.00864229,0.00864229,0.00864229
98,2023.76,0.68524,0.4343,0.90806,0.73122,0.66176,0.64929,0.42612,1.07097,0.74502,1.0001,0.00862814,0.00862814,0.00862814
99,2044.71,0.69807,0.44504,0.90837,0.72391,0.64152,0.62099,0.41432,1.07487,0.7702,1.00002,0.008614,0.008614,0.008614
100,2065.54,0.69656,0.44096,0.90633,0.72424,0.63066,0.64831,0.41758,1.07395,0.7638,0.99872,0.00859986,0.00859986,0.00859986
101,2086.71,0.68535,0.43069,0.90478,0.78122,0.63859,0.64291,0.42068,1.03988,0.71206,0.99272,0.00858571,0.00858571,0.00858571
102,2107.58,0.69622,0.43211,0.90279,0.8259,0.64353,0.67042,0.44818,1.05606,0.67414,1.00618,0.00857157,0.00857157,0.00857157
103,2128.39,0.68334,0.42784,0.90965,0.84616,0.611,0.65231,0.42331,1.06203,0.7416,1.01728,0.00855743,0.00855743,0.00855743
104,2149.3,0.68501,0.43309,0.89974,0.78373,0.60582,0.6174,0.39705,1.08774,0.77864,1.0059,0.00854329,0.00854329,0.00854329
105,2170.05,0.68399,0.42295,0.90717,0.77881,0.62826,0.62764,0.41873,1.05492,0.75036,1.00381,0.00852914,0.00852914,0.00852914
106,2190.95,0.6804,0.42528,0.90494,0.81281,0.61904,0.64532,0.43075,1.05492,0.74653,0.99514,0.008515,0.008515,0.008515
107,2212,0.67948,0.42135,0.90765,0.89507,0.61729,0.64219,0.42441,1.06818,0.79913,1.00968,0.00850086,0.00850086,0.00850086
